"","us.embassy","baoding","cangzhou","changpingzhen","chaoyangaotizhongxin","chaoyangnongzhanguan","chengde","daxinghuangcunzhen","dongsihuanbeilu","fengtaihuayuan","guandangxiao","haidianwanliu","jixian","langfang","miyun","nansanhuanxilu","pinggu","qianmendongdajie","sanhe","shijiazhuang","shijingshangucheng","shunyixincheng","tangshan","tianjin","tongzhouxincheng","xianghe","xinglong","yanqing","zhangjiakou","zhuozhou"
"us.embassy",4855.2211805548,4308.80511307813,1975.55684307856,3846.83885557916,4604.50431802517,4586.19352874727,2562.14839998645,4602.47863112725,4757.91556374696,4368.91949484817,4264.83665130819,4262.47211422235,2854.79409577901,3709.68465836108,3920.5389919913,4842.94410066018,3589.27508738127,5074.73871993324,3985.47459859185,4379.46715749862,4069.94246568667,4183.17558935361,2771.04949545868,2536.10870119028,3681.11549039951,3957.24636291588,2809.30092116629,3604.96771780956,805.627859355452,4031.39469668876
"baoding",4308.80511307813,9584.30479185168,2342.26407489537,3361.93868112964,4095.19000538405,4093.6809402776,2417.14854649161,4629.96848125818,4229.64520661062,4166.4613939325,4791.12851081186,3905.20711118557,2485.35319522621,4166.99099092213,3519.70909918707,4432.97311142078,3121.50300822918,4603.18014247612,3704.79532545979,5958.91522686108,3849.03685295141,3629.09935509742,3061.64774575874,2765.36835744011,3197.5383944128,4012.12632922967,2647.54523175777,3386.06567204774,943.869503095083,4696.22145796881
"cangzhou",1975.55684307856,2342.26407489537,2951.33449629613,1551.8411788011,1870.46773666975,1881.86059502264,1345.98102767368,2089.29115851301,2028.81221049122,1832.77479765588,2159.20297421508,1735.67107018123,1469.94787325243,1990.9902103715,1629.76638109552,2091.43253865554,1514.66470591405,2181.16763086324,1834.95712877202,2692.3996894448,1683.36215529161,1691.36732018833,1852.91981376515,2053.85544354479,1793.00134773007,2029.04624000405,1476.71906263298,1649.78354326028,417.975001759791,1797.76098481296
"changpingzhen",3846.83885557916,3361.93868112964,1551.8411788011,4450.58108526517,3970.18595279063,3759.51263535914,2433.12975514806,3821.93889441843,3863.24887117882,3706.56225450334,3567.29774179471,3895.24177303796,2527.60357547274,2822.7966401367,3628.54915504329,3999.13545581207,3273.26337573002,4211.06000474563,3438.14847501362,3625.76799178353,3752.9997899762,3764.69194321823,2197.12766271482,1902.923175469,2990.48002910761,3183.49611729746,2636.94051741315,3735.56600572046,833.637646469934,3393.76268726078
"chaoyangaotizhongxin",4604.50431802517,4095.19000538405,1870.46773666975,3970.18595279063,4739.10529972812,4474.59812894086,2584.59162557418,4497.46305823546,4617.6568142006,4336.21053709642,4207.41775281297,4377.19471257063,2835.25627405761,3501.29127781048,3903.72804771847,4750.81930290107,3588.96630223135,4981.96799268383,3939.21961948869,4112.86196103252,4160.89815346022,4251.05771206198,2651.26537358159,2383.90305615905,3638.47189626257,3788.20833005026,2822.43306135838,3707.5994356099,809.476644841027,3959.18986537356
"chaoyangnongzhanguan",4586.19352874727,4093.6809402776,1881.86059502264,3759.51263535914,4474.59812894086,4533.7525377259,2511.29476402369,4495.75068832944,4643.64554187425,4254.47878475051,4144.51632160932,4172.13931322293,2848.41596745463,3625.27273014509,3806.68247151385,4715.64110749738,3531.11708177201,4920.22610826824,3875.42705439068,4132.67911117725,3973.08901991813,4095.81431964631,2638.54030716477,2474.28823195304,3659.61675531212,3837.57992890981,2712.49926372679,3521.28436154215,787.175630397495,3920.80848773495
"chengde",2562.14839998645,2417.14854649161,1345.98102767368,2433.12975514806,2584.59162557418,2511.29476402369,2824.59143830511,2551.31126864876,2596.9330893675,2448.77908667267,2426.85473116959,2524.13236803588,1956.77237588919,1978.19092535902,2547.61541620421,2653.23898591513,2292.09631994597,2764.61876898364,2491.29647721811,2736.8304715775,2451.84810386519,2584.74690973586,1709.86979519336,1440.10472047457,2027.21040934162,2349.13259071912,2116.98838447845,2551.35409690039,665.464591271921,2301.81659972034
"daxinghuangcunzhen",4602.47863112725,4629.96848125818,2089.29115851301,3821.93889441843,4497.46305823546,4495.75068832944,2551.31126864876,5154.22283209096,4691.87699251826,4470.41631665529,4567.68673680072,4237.20898958632,2893.75853854038,3995.00731817076,3824.07455672138,4923.92128035647,3541.16318864904,5052.34714336421,3928.68699803665,4665.34757656187,4059.55120489183,4064.60941096536,2793.89454877606,2678.43896873739,3687.9767149622,3995.3717616814,2753.33030906777,3571.0651205863,788.439821368576,4324.27141468578
"dongsihuanbeilu",4757.91556374696,4229.64520661062,2028.81221049122,3863.24887117882,4617.6568142006,4643.64554187425,2596.9330893675,4691.87699251826,5031.14633220475,4414.59462797692,4298.08435424456,4288.68715052214,2963.72207161459,3804.77122579383,3934.37116809983,4910.34752631179,3663.29172936949,5075.03378448411,4039.25731517882,4168.4944507139,4062.34633568736,4238.36763898234,2792.69620159413,2619.61828958787,3993.57997194268,4018.93647574182,2780.61908692973,3590.37781337625,769.841149922926,4066.05895715658
"fengtaihuayuan",4368.91949484817,4166.4613939325,1832.77479765588,3706.56225450334,4336.21053709642,4254.47878475051,2448.77908667267,4470.41631665529,4414.59462797692,4358.52330123489,4133.08828464115,4172.48018932925,2716.42820160076,3472.9286425656,3686.90270079924,4651.60585078207,3402.52237944606,4800.12322336012,3725.60447857774,4115.53249236971,4022.69349455982,3927.42522949227,2507.42168651052,2354.10187548368,3489.1977441821,3658.09589640104,2607.20515181492,3479.29768296506,757.374354373128,3970.92768207244
"guandangxiao",4264.83665130819,4791.12851081186,2159.20297421508,3567.29774179471,4207.41775281297,4144.51632160932,2426.85473116959,4567.68673680072,4298.08435424456,4133.08828464115,4989.25471326478,3972.71615549487,2690.95185399526,4012.93411224412,3536.11848346712,4543.98324027638,3376.04709547019,4696.8347190873,3880.62165639832,4739.4986338765,3873.91765579595,3817.92868085347,3005.3134596351,2775.33656772768,3741.88401443552,4115.22537193506,2677.80594440513,3371.10291943586,725.014574955393,4269.82043564146
"haidianwanliu",4262.47211422235,3905.20711118557,1735.67107018123,3895.24177303796,4377.19471257063,4172.13931322293,2524.13236803588,4237.20898958632,4288.68715052214,4172.48018932925,3972.71615549487,4381.62096281262,2679.79447789839,3191.3470186976,3715.8101661799,4469.93247977783,3423.64826320386,4673.64451023187,3716.46460810451,3945.29184503529,4129.41942991939,4013.97149344779,2470.07204052592,2206.33793175932,3392.95209286403,3518.21557169799,2698.095964785,3680.13769908475,819.422478901922,3852.71133703412
"jixian",2854.79409577901,2485.35319522621,1469.94787325243,2527.60357547274,2835.25627405761,2848.41596745463,1956.77237588919,2893.75853854038,2963.72207161459,2716.42820160076,2690.95185399526,2679.79447789839,2973.50335900137,2418.89605357443,2783.60199193232,2999.48717462454,2765.46835972403,3141.85999642737,3046.52987405285,2676.73526931072,2571.15465354,2960.51141508193,2210.70510507467,2046.12684544905,2502.79167225894,2935.64328362107,2114.46457054677,2410.92389147428,491.40079931515,2437.34353542444
"langfang",3709.68465836108,4166.99099092213,1990.9902103715,2822.7966401367,3501.29127781048,3625.27273014509,1978.19092535902,3995.00731817076,3804.77122579383,3472.9286425656,4012.93411224412,3191.3470186976,2418.89605357443,4699.4399869723,3011.36705484661,3924.8308099688,2977.09528569987,4001.91947972341,3526.35344321518,4101.06199528732,3084.62864857358,3332.10788701897,2907.59080494864,2654.69204471639,3597.70801209611,4024.0883758729,2248.60950427743,2658.38887127087,648.663837473944,3573.78057010156
"miyun",3920.5389919913,3519.70909918707,1629.76638109552,3628.54915504329,3903.72804771847,3806.68247151385,2547.61541620421,3824.07455672138,3934.37116809983,3686.90270079924,3536.11848346712,3715.8101661799,2783.60199193232,3011.36705484661,3941.74801448743,4015.55384979845,3450.28033731174,4224.31850686934,3589.97964261898,3688.71161322181,3589.04817990941,3861.64433789071,2437.90381050751,2166.20452929298,3059.02885561524,3388.92997176832,2693.4987988313,3465.80813853917,802.147185517095,3421.30250418623
"nansanhuanxilu",4842.94410066018,4432.97311142078,2091.43253865554,3999.13545581207,4750.81930290107,4715.64110749738,2653.23898591513,4923.92128035647,4910.34752631179,4651.60585078207,4543.98324027638,4469.93247977783,2999.48717462454,3924.8308099688,4015.55384979845,5325.3840641326,3725.29649472485,5337.15487913223,4057.18789189814,4509.44540255774,4293.03171613817,4274.42900536278,2726.35242401126,2663.83512408318,3927.29485994343,4059.97472156374,2852.07986002887,3764.77723013232,781.179032987161,4281.23271611739
"pinggu",3589.27508738127,3121.50300822918,1514.66470591405,3273.26337573002,3588.96630223135,3531.11708177201,2292.09631994597,3541.16318864904,3663.29172936949,3402.52237944606,3376.04709547019,3423.64826320386,2765.46835972403,2977.09528569987,3450.28033731174,3725.29649472485,3607.80581175125,3899.23229874789,3684.7307961644,3297.60777630252,3309.53046368945,3706.15562803669,2503.84468022572,2130.9582467435,3258.94405755095,3500.86633823241,2573.18352510285,3029.2095246234,628.824494182017,3176.39490183487
"qianmendongdajie",5074.73871993324,4603.18014247612,2181.16763086324,4211.06000474563,4981.96799268383,4920.22610826824,2764.61876898364,5052.34714336421,5075.03378448411,4800.12322336012,4696.8347190873,4673.64451023187,3141.85999642737,4001.91947972341,4224.31850686934,5337.15487913223,3899.23229874789,5748.42574750635,4270.81142492942,4714.28129107787,4496.42204633812,4494.02413654321,2880.61633996738,2737.00302438598,4021.67959816976,4209.08280467692,3021.56949382859,3951.59208372538,865.63457495431,4416.26798657504
"sanhe",3985.47459859185,3704.79532545979,1834.95712877202,3438.14847501362,3939.21961948869,3875.42705439068,2491.29647721811,3928.68699803665,4039.25731517882,3725.60447857774,3880.62165639832,3716.46460810451,3046.52987405285,3526.35344321518,3589.97964261898,4057.18789189814,3684.7307961644,4270.81142492942,4665.43825732149,3670.23341186104,3563.65487700915,4140.47258151727,3034.92511116279,2405.59590487957,3764.66235811226,4223.66437988705,2761.70504792629,3241.46002096253,728.555715582462,3573.07219242117
"shijiazhuang",4379.46715749862,5958.91522686108,2692.3996894448,3625.76799178353,4112.86196103252,4132.67911117725,2736.8304715775,4665.34757656187,4168.4944507139,4115.53249236971,4739.4986338765,3945.29184503529,2676.73526931072,4101.06199528732,3688.71161322181,4509.44540255774,3297.60777630252,4714.28129107787,3670.23341186104,9823.96250382414,3829.17470335301,3663.6009233638,3055.91075665857,3190.81636544015,3215.48029145992,4015.74659861608,2826.26355349155,3636.27727710065,1001.63247711127,4468.5042877652
"shijingshangucheng",4069.94246568667,3849.03685295141,1683.36215529161,3752.9997899762,4160.89815346022,3973.08901991813,2451.84810386519,4059.55120489183,4062.34633568736,4022.69349455982,3873.91765579595,4129.41942991939,2571.15465354,3084.62864857358,3589.04817990941,4293.03171613817,3309.53046368945,4496.42204633812,3563.65487700915,3829.17470335301,4160.62521948335,3803.8832199953,2335.79956688454,2153.19915317549,3265.32150157446,3386.15555562247,2638.14359950254,3587.68503778801,786.6335940288,3767.65630483627
"shunyixincheng",4183.17558935361,3629.09935509742,1691.36732018833,3764.69194321823,4251.05771206198,4095.81431964631,2584.74690973586,4064.60941096536,4238.36763898234,3927.42522949227,3817.92868085347,4013.97149344779,2960.51141508193,3332.10788701897,3861.64433789071,4274.42900536278,3706.15562803669,4494.02413654321,4140.47258151727,3663.6009233638,3803.8832199953,4535.80369532637,2762.53725738755,2229.80806437283,3594.25403074678,3849.98837328831,2777.28696704863,3493.70731094231,780.635443696646,3594.35093314171
"tangshan",2771.04949545868,3061.64774575874,1852.91981376515,2197.12766271482,2651.26537358159,2638.54030716477,1709.86979519336,2793.89454877606,2792.69620159413,2507.42168651052,3005.3134596351,2470.07204052592,2210.70510507467,2907.59080494864,2437.90381050751,2726.35242401126,2503.84468022572,2880.61633996738,3034.92511116279,3055.91075665857,2335.79956688454,2762.53725738755,6160.30515038658,2646.37569724276,2678.80936439486,3387.52988769374,2022.80115137506,2106.28875389133,623.829339727359,2641.06215926951
"tianjin",2536.10870119028,2765.36835744011,2053.85544354479,1902.923175469,2383.90305615905,2474.28823195304,1440.10472047457,2678.43896873739,2619.61828958787,2354.10187548368,2775.33656772768,2206.33793175932,2046.12684544905,2654.69204471639,2166.20452929298,2663.83512408318,2130.9582467435,2737.00302438598,2405.59590487957,3190.81636544015,2153.19915317549,2229.80806437283,2646.37569724276,3194.97764157639,2400.70080266789,2743.60975053445,1719.73193740335,1804.21074756811,454.262311919967,2371.67219889042
"tongzhouxincheng",3681.11549039951,3197.5383944128,1793.00134773007,2990.48002910761,3638.47189626257,3659.61675531212,2027.21040934162,3687.9767149622,3993.57997194268,3489.1977441821,3741.88401443552,3392.95209286403,2502.79167225894,3597.70801209611,3059.02885561524,3927.29485994343,3258.94405755095,4021.67959816976,3764.66235811226,3215.48029145992,3265.32150157446,3594.25403074678,2678.80936439486,2400.70080266789,4662.37007464131,3982.58782439037,2307.3539093793,2701.24635301809,520.216324021014,3255.34705322748
"xianghe",3957.24636291588,4012.12632922967,2029.04624000405,3183.49611729746,3788.20833005026,3837.57992890981,2349.13259071912,3995.3717616814,4018.93647574182,3658.09589640104,4115.22537193506,3518.21557169799,2935.64328362107,4024.0883758729,3388.92997176832,4059.97472156374,3500.86633823241,4209.08280467692,4223.66437988705,4015.74659861608,3386.15555562247,3849.98837328831,3387.52988769374,2743.60975053445,3982.58782439037,5028.07128102484,2679.27439885603,3006.54260250634,677.003414149775,3544.26782836047
"xinglong",2809.30092116629,2647.54523175777,1476.71906263298,2636.94051741315,2822.43306135838,2712.49926372679,2116.98838447845,2753.33030906777,2780.61908692973,2607.20515181492,2677.80594440513,2698.095964785,2114.46457054677,2248.60950427743,2693.4987988313,2852.07986002887,2573.18352510285,3021.56949382859,2761.70504792629,2826.26355349155,2638.14359950254,2777.28696704863,2022.80115137506,1719.73193740335,2307.3539093793,2679.27439885603,2685.03525116232,2620.59774551249,681.809060894717,2493.86514010931
"yanqing",3604.96771780956,3386.06567204774,1649.78354326028,3735.56600572046,3707.5994356099,3521.28436154215,2551.35409690039,3571.0651205863,3590.37781337625,3479.29768296506,3371.10291943586,3680.13769908475,2410.92389147428,2658.38887127087,3465.80813853917,3764.77723013232,3029.2095246234,3951.59208372538,3241.46002096253,3636.27727710065,3587.68503778801,3493.70731094231,2106.28875389133,1804.21074756811,2701.24635301809,3006.54260250634,2620.59774551249,4213.98684365595,967.17269750408,3390.93961415684
"zhangjiakou",805.627859355452,943.869503095083,417.975001759791,833.637646469934,809.476644841027,787.175630397495,665.464591271921,788.439821368576,769.841149922926,757.374354373128,725.014574955393,819.422478901922,491.40079931515,648.663837473944,802.147185517095,781.179032987161,628.824494182017,865.63457495431,728.555715582462,1001.63247711127,786.6335940288,780.635443696646,623.829339727359,454.262311919967,520.216324021014,677.003414149775,681.809060894717,967.17269750408,1876.79950697534,803.396062348274
"zhuozhou",4031.39469668876,4696.22145796881,1797.76098481296,3393.76268726078,3959.18986537356,3920.80848773495,2301.81659972034,4324.27141468578,4066.05895715658,3970.92768207244,4269.82043564146,3852.71133703412,2437.34353542444,3573.78057010156,3421.30250418623,4281.23271611739,3176.39490183487,4416.26798657504,3573.07219242117,4468.5042877652,3767.65630483627,3594.35093314171,2641.06215926951,2371.67219889042,3255.34705322748,3544.26782836047,2493.86514010931,3390.93961415684,803.396062348274,4818.27617704398
